date,transect,species,replicate,leaf_number,curling_mm,thickness_mm,mass_g,as.numeric(curling_mm),species_cleaned
2021-11-11,10,QUAG_851,3,4,12,0.26,NA,12,QUAG
2021-11-11,10,QUAG_851,3,5,10,0.26,NA,10,QUAG
2021-11-11,10,QUAG_875,4,1,7,0.21,NA,7,QUAG
2021-11-11,10,QUAG_875,4,2,9,0.24,NA,9,QUAG
2021-11-11,10,QUAG_875,4,3,12,0.29,NA,12,QUAG
2021-11-11,10,QUAG_875,4,4,10,0.27,NA,10,QUAG
2021-11-11,10,QUAG_875,4,5,6,0.26,NA,6,QUAG
2021-11-11,10,QUAG_863,5,1,5,0.28,NA,5,QUAG
2021-11-11,10,QUAG_863,5,2,8,0.3,NA,8,QUAG
2021-11-11,10,QUAG_863,5,3,5,0.27,NA,5,QUAG
2021-11-11,10,QUAG_863,5,4,4,0.25,NA,4,QUAG
2021-11-11,10,QUAG_863,5,5,10,0.3,NA,10,QUAG
2021-11-11,12,QUAG_879,1,1,17,0.26,NA,17,QUAG
2021-11-11,12,QUAG_879,1,2,18,0.28,NA,18,QUAG
2021-11-11,12,QUAG_879,1,3,23,0.28,NA,23,QUAG
2021-11-11,12,QUAG_879,1,4,8,0.23,NA,8,QUAG
2021-11-11,12,QUAG_879,1,5,14,0.24,NA,14,QUAG
2021-11-11,12,QUAG_899,2,1,8,0.22,NA,8,QUAG
2021-11-11,12,QUAG_899,2,2,3,0.24,NA,3,QUAG
2021-11-11,12,QUAG_899,2,3,8,0.29,NA,8,QUAG
2021-11-11,12,QUAG_899,2,4,7,0.23,NA,7,QUAG
2021-11-11,12,QUAG_899,2,5,11,0.25,NA,11,QUAG
2021-11-11,12,QUAG_860,3,1,10,0.24,NA,10,QUAG
2021-11-11,12,QUAG_860,3,2,7,0.26,NA,7,QUAG
2021-11-11,12,QUAG_860,3,3,10,0.23,NA,10,QUAG
2021-11-11,12,QUAG_860,3,4,8,0.21,NA,8,QUAG
2021-11-11,12,QUAG_860,3,5,9,0.23,NA,9,QUAG
2021-11-11,12,QUAG_858,4,1,7,0.26,NA,7,QUAG
2021-11-11,12,QUAG_858,4,2,7,0.26,NA,7,QUAG
2021-11-11,12,QUAG_858,4,3,8,0.26,NA,8,QUAG
2021-11-11,12,QUAG_858,4,4,6,0.29,NA,6,QUAG
2021-11-11,12,QUAG_858,4,5,6,0.26,NA,6,QUAG
2021-11-11,12,QUAG_874,5,1,6,0.29,NA,6,QUAG
2021-11-11,12,QUAG_874,5,2,8,0.29,NA,8,QUAG
2021-11-11,12,QUAG_874,5,3,4,0.28,NA,4,QUAG
2021-11-11,12,QUAG_874,5,4,8,0.29,NA,8,QUAG
2021-11-11,12,QUAG_874,5,5,9,0.23,NA,9,QUAG
2021-11-13,6,QUDO_750,1,1,10,0.27,NA,10,QUDO
2021-11-13,6,QUDO_750,1,2,18,0.34,NA,18,QUDO
2021-11-13,6,QUDO_750,1,3,7,0.26,NA,7,QUDO
2021-11-13,6,QUDO_750,1,4,6,0.29,NA,6,QUDO
2021-11-13,6,QUDO_750,1,5,4,0.24,NA,4,QUDO
2021-11-13,6,QUDO_737,2,1,7,0.17,NA,7,QUDO
2021-11-13,6,QUDO_737,2,2,7,0.23,NA,7,QUDO
2021-11-13,6,QUDO_737,2,3,10,0.21,NA,10,QUDO
2021-11-13,6,QUDO_737,2,4,7,0.25,NA,7,QUDO
2021-11-13,6,QUDO_737,2,5,7,0.22,NA,7,QUDO
2021-11-13,6,QUDO_748,3,1,3,0.25,NA,3,QUDO
2021-11-13,6,QUDO_748,3,2,4,0.21,NA,4,QUDO
2021-11-13,6,QUDO_748,3,3,9,0.25,NA,9,QUDO
2021-11-13,6,QUDO_748,3,4,3,0.24,NA,3,QUDO
2021-11-13,6,QUDO_748,3,5,3,0.22,NA,3,QUDO
2021-11-13,6,QUDO_790,4,1,6,0.21,NA,6,QUDO
2021-11-13,6,QUDO_790,4,2,9,0.22,NA,9,QUDO
2021-11-13,6,QUDO_790,4,3,3,0.22,NA,3,QUDO
2021-11-13,6,QUDO_790,4,4,6,0.17,NA,6,QUDO
2021-11-13,6,QUDO_790,4,5,5,0.21,NA,5,QUDO
2021-11-13,6,QUDO_798,5,1,4,0.22,NA,4,QUDO
2021-11-13,6,QUDO_798,5,2,6,0.25,NA,6,QUDO
2021-11-13,6,QUDO_798,5,3,17,0.28,NA,17,QUDO
2021-11-13,6,QUDO_798,5,4,6,0.29,NA,6,QUDO
2021-11-13,6,QUDO_798,5,5,15,0.23,NA,15,QUDO
2021-11-13,6,QUAG_NA_1,1,1,7,0.3,NA,7,QUAG
2021-11-13,6,QUAG_NA_1,1,2,6,0.27,NA,6,QUAG
2021-11-13,6,QUAG_NA_1,1,3,6,0.44,NA,6,QUAG
2021-11-13,6,QUAG_NA_1,1,4,9,0.37,NA,9,QUAG
2021-11-13,6,QUAG_NA_1,1,5,19,0.32,NA,19,QUAG
2021-11-13,6,QUAG_NA_2,2,1,4,0.16,NA,4,QUAG
2021-11-13,6,QUAG_NA_2,2,2,7,0.23,NA,7,QUAG
2021-11-13,6,QUAG_NA_2,2,3,9,0.26,NA,9,QUAG
2021-11-13,6,QUAG_NA_2,2,4,11,0.27,NA,11,QUAG
2021-11-13,6,QUAG_NA_2,2,5,11,0.24,NA,11,QUAG
2021-11-13,6,QUAG_784,3,1,6,0.22,NA,6,QUAG
2021-11-13,6,QUAG_784,3,2,4,0.29,NA,4,QUAG
2021-11-13,6,QUAG_784,3,3,5,0.36,NA,5,QUAG
2021-11-13,6,QUAG_784,3,4,8,0.28,NA,8,QUAG
2021-11-13,6,QUAG_784,3,5,6,0.3,NA,6,QUAG
2021-11-13,6,QUAG_794,4,1,3,0.3,NA,3,QUAG
2021-11-13,6,QUAG_794,4,2,5,0.24,NA,5,QUAG
2021-11-13,6,QUAG_794,4,3,4,0.28,NA,4,QUAG
2021-11-13,6,QUAG_794,4,4,4,0.21,NA,4,QUAG
2021-11-13,6,QUAG_794,4,5,4,0.21,NA,4,QUAG
2021-11-13,6,HEAR_NA_1,1,1,7,0.37,NA,7,HEAR
2021-11-13,6,HEAR_NA_1,1,2,15,0.28,NA,15,HEAR
2021-11-13,6,HEAR_NA_1,1,3,6,0.35,NA,6,HEAR
2021-11-13,6,HEAR_NA_1,1,4,10,0.3,NA,10,HEAR
2021-11-13,6,HEAR_NA_1,1,5,11,0.33,NA,11,HEAR
2021-11-13,6,HEAR_NA_2,2,1,7,0.43,NA,7,HEAR
2021-11-13,6,HEAR_NA_2,2,2,5,0.4,NA,5,HEAR
2021-11-13,6,HEAR_NA_2,2,3,18,0.32,NA,18,HEAR
2021-11-13,6,HEAR_NA_2,2,4,15,0.34,NA,15,HEAR
2021-11-13,6,HEAR_NA_2,2,5,13,0.39,NA,13,HEAR
2021-11-13,6,HEAR_NA_3,3,1,9,0.36,NA,9,HEAR
2021-11-13,6,HEAR_NA_3,3,2,6,0.31,NA,6,HEAR
2021-11-13,6,HEAR_NA_3,3,3,13,0.34,NA,13,HEAR
2021-11-13,6,HEAR_NA_3,3,4,10,0.31,NA,10,HEAR
2021-11-13,6,HEAR_NA_3,3,5,9,0.32,NA,9,HEAR
2021-11-13,6,HEAR_746,4,1,11,0.33,NA,11,HEAR
2021-11-13,6,HEAR_746,4,2,11,0.28,NA,11,HEAR
2021-11-13,6,HEAR_746,4,3,7,0.32,NA,7,HEAR
2021-11-13,6,HEAR_746,4,4,11,0.33,NA,11,HEAR
2021-11-13,6,HEAR_746,4,5,11,0.28,NA,11,HEAR
2021-11-13,6,HEAR_747,5,1,13,0.36,NA,13,HEAR
2021-11-13,6,HEAR_747,5,2,16,0.37,NA,16,HEAR
