Date,Transect,Species,Replicate,Leaf_Number,Curling_(mm),Thickness_(mm),Mass_(g)
20211102,4,SALE,4,1,1,0.51,
20211102,4,SALE,4,2,3,0.6,
20211102,4,SALE,4,3,2,0.52,
20211102,4,SALE,4,4,2,0.7,
20211102,4,SALE,4,5,3,0.65,
20211102,4,SALE,5,1,2,0.67,
20211102,4,SALE,5,2,2,0.8,
20211102,4,SALE,5,3,1,0.56,
20211102,4,SALE,5,4,0,0.56,
20211102,4,SALE,5,5,2,0.69,
20211102,4,QUDO_785,1,1,4,0.25,0.1
20211102,4,QUDO_785,1,2,5,0.27,0.08
20211102,4,QUDO_785,1,3,8,0.23,0.09
20211102,4,QUDO_785,1,4,6,0.24,0.05
20211102,4,QUDO_785,1,5,NA,NA,NA
20211102,4,QUDO_777,2,1,3,0.27,0.06
20211102,4,QUDO_777,2,2,4,0.25,0.08
20211102,4,QUDO_777,2,3,2,0.3,0.07
20211102,4,QUDO_777,2,4,2,0.24,0.05
20211102,4,QUDO_777,2,5,5,0.31,0.14
20211102,4,QUDO_775,3,1,5,0.26,0.1
20211102,4,QUDO_775,3,2,2,0.25,0.06
20211102,4,QUDO_775,3,3,6,0.26,0.09
20211102,4,QUDO_775,3,4,2,0.24,0.05
20211102,4,QUDO_775,3,5,7,0.26,0.11
20211102,4,QUDO_787,4,1,4,0.26,0.05
20211102,4,QUDO_787,4,2,6,0.26,0.05
20211102,4,QUDO_787,4,3,5,0.28,0.05
20211102,4,QUDO_787,4,4,8,0.28,0.07
20211102,4,QUDO_787,4,5,6,0.29,0.08
20211102,4,QUDO_788,5,1,1,0.23,0.05
20211102,4,QUDO_788,5,2,1,0.23,0.06
20211102,4,QUDO_788,5,3,2,0.25,0.06
20211102,4,QUDO_788,5,4,7,0.24,0.06
20211102,4,QUDO_788,5,5,5,0.26,0.08
20211110,4,MIAR,2,1,3,0.26,
20211110,4,MIAR,2,2,6,0.25,
20211110,4,MIAR,2,3,15,0.21,
20211110,4,MIAR,2,4,15,0.2,
20211110,4,MIAR,2,5,7,0.23,
20211110,4,MIAR,3,1,6,0.22,
20211110,4,MIAR,3,2,3,0.21,
20211110,4,MIAR,3,3,7,0.21,
20211110,4,MIAR,3,4,6,0.24,
20211110,4,MIAR,3,5,6,0.19,
20211110,3,MIAR,1,1,3,0.22,
20211110,4,MIAR,1,2,7,0.21,
20211110,4,MIAR,1,3,11,0.19,
20211110,4,MIAR,1,4,10,0.21,
20211110,4,MIAR,1,5,12,0.22,
20211111,10,QUAG_855,1,1,5,0.37,
20211111,10,QUAG_855,1,2,6,0.28,
20211111,10,QUAG_855,1,3,9,0.39,
20211111,10,QUAG_855,1,4,10,0.34,
20211111,10,QUAG_855,1,5,6,0.32,
20211111,10,QUAG_889,2,1,7,0.29,
20211111,10,QUAG_889,2,2,6,0.29,
20211111,10,QUAG_889,2,3,9,0.24,
20211111,10,QUAG_889,2,4,7,0.24,
20211111,10,QUAG_889,2,5,6,0.36,
20211111,10,QUAG_851,3,1,9,0.24,
20211111,10,QUAG_851,3,2,8,0.24,
20211111,10,QUAG_851,3,3,12,0.29,
20211111,10,QUAG_851,3,4,12,0.26,
20211111,10,QUAG_851,3,5,10,0.26,
20211111,10,QUAG_875,4,1,7,0.21,
20211111,10,QUAG_875,4,2,9,0.24,
20211111,10,QUAG_875,4,3,12,0.29,
20211111,10,QUAG_875,4,4,10,0.27,
20211111,10,QUAG_875,4,5,6,0.26,
20211111,10,QUAG_863,5,1,5,0.28,
20211111,10,QUAG_863,5,2,8,0.3,
20211111,10,QUAG_863,5,3,5,0.27,
20211111,10,QUAG_863,5,4,4,0.25,
20211111,10,QUAG_863,5,5,10,0.3,
20211111,12,QUAG_879,1,1,17,0.26,
20211111,12,QUAG_879,1,2,18,0.28,
20211111,12,QUAG_879,1,3,23,0.28,
20211111,12,QUAG_879,1,4,8,0.23,
20211111,12,QUAG_879,1,5,14,0.24,
20211111,12,QUAG_899,2,1,8,0.22,
20211111,12,QUAG_899,2,2,3,0.24,
20211111,12,QUAG_899,2,3,8,0.29,
20211111,12,QUAG_899,2,4,7,0.23,
20211111,12,QUAG_899,2,5,11,0.25,
20211111,12,QUAG_860,3,1,10,0.24,
20211111,12,QUAG_860,3,2,7,0.26,
20211111,12,QUAG_860,3,3,10,0.23,
20211111,12,QUAG_860,3,4,8,0.21,
20211111,12,QUAG_860,3,5,9,0.23,
20211111,12,QUAG_858,4,1,7,0.26,
20211111,12,QUAG_858,4,2,7,0.26,
20211111,12,QUAG_858,4,3,8,0.26,
20211111,12,QUAG_858,4,4,6,0.29,
20211111,12,QUAG_858,4,5,6,0.26,
20211111,12,QUAG_874,5,1,6,0.29,
20211111,12,QUAG_874,5,2,8,0.29,
20211111,12,QUAG_874,5,3,4,0.28,
20211111,12,QUAG_874,5,4,8,0.29,
20211111,12,QUAG_874,5,5,9,0.23,
20211113,6,QUDO_750,1,1,10,0.27,
20211113,6,QUDO_750,1,2,18,0.34,
20211113,6,QUDO_750,1,3,7,0.26,
20211113,6,QUDO_750,1,4,6,0.29,
20211113,6,QUDO_750,1,5,4,0.24,
20211113,6,QUDO_737,2,1,7,0.17,
20211113,6,QUDO_737,2,2,7,0.23,
20211113,6,QUDO_737,2,3,10,0.21,
20211113,6,QUDO_737,2,4,7,0.25,
20211113,6,QUDO_737,2,5,7,0.22,
20211113,6,QUDO_748,3,1,3,0.25,
20211113,6,QUDO_748,3,2,4,0.21,
20211113,6,QUDO_748,3,3,9,0.25,
20211113,6,QUDO_748,3,4,3,0.24,
20211113,6,QUDO_748,3,5,3,0.22,
20211113,6,QUDO_790,4,1,6,0.21,
20211113,6,QUDO_790,4,2,9,0.22,
20211113,6,QUDO_790,4,3,3,0.22,
20211113,6,QUDO_790,4,4,6,0.17,
20211113,6,QUDO_790,4,5,5,0.21,
20211113,6,QUDO_798,5,1,4,0.22,
20211113,6,QUDO_798,5,2,6,0.25,
20211113,6,QUDO_798,5,3,17,0.28,
20211113,6,QUDO_798,5,4,6,0.29,
20211113,6,QUDO_798,5,5,15,0.23,
20211113,6,QUAG_NA_1,1,1,7,0.3,
20211113,6,QUAG_NA_1,1,2,6,0.27,
20211113,6,QUAG_NA_1,1,3,6,0.44,
20211113,6,QUAG_NA_1,1,4,9,0.37,
20211113,6,QUAG_NA_1,1,5,19,0.32,
20211113,6,QUAG_NA_2,2,1,4,0.16,
20211113,6,QUAG_NA_2,2,2,7,0.23,
20211113,6,QUAG_NA_2,2,3,9,0.26,
20211113,6,QUAG_NA_2,2,4,11,0.27,
20211113,6,QUAG_NA_2,2,5,11,0.24,
20211113,6,QUAG_784,3,1,6,0.22,
20211113,6,QUAG_784,3,2,4,0.29,
20211113,6,QUAG_784,3,3,5,0.36,
20211113,6,QUAG_784,3,4,8,0.28,
20211113,6,QUAG_784,3,5,6,0.3,
20211113,6,QUAG_794,4,1,3,0.3,
20211113,6,QUAG_794,4,2,5,0.24,
20211113,6,QUAG_794,4,3,4,0.28,
20211113,6,QUAG_794,4,4,4,0.21,
20211113,6,QUAG_794,4,5,4,0.21,
20211113,6,HEAR_NA_1,1,1,7,0.37,
20211113,6,HEAR_NA_1,1,2,15,0.28,
20211113,6,HEAR_NA_1,1,3,6,0.35,
20211113,6,HEAR_NA_1,1,4,10,0.3,
20211113,6,HEAR_NA_1,1,5,11,0.33,
20211113,6,HEAR_NA_2,2,1,7,0.43,
20211113,6,HEAR_NA_2,2,2,5,0.4,
20211113,6,HEAR_NA_2,2,3,18,0.32,
20211113,6,HEAR_NA_2,2,4,15,0.34,
20211113,6,HEAR_NA_2,2,5,13,0.39,
20211113,6,HEAR_NA_3,3,1,9,0.36,
20211113,6,HEAR_NA_3,3,2,6,0.31,
20211113,6,HEAR_NA_3,3,3,13,0.34,
20211113,6,HEAR_NA_3,3,4,10,0.31,
20211113,6,HEAR_NA_3,3,5,9,0.32,
20211113,6,HEAR_746,4,1,11,0.33,
20211113,6,HEAR_746,4,2,11,0.28,
20211113,6,HEAR_746,4,3,7,0.32,
20211113,6,HEAR_746,4,4,11,0.33,
20211113,6,HEAR_746,4,5,11,0.28,
20211113,6,HEAR_747,5,1,13,0.36,
20211113,6,HEAR_747,5,2,16,0.37,
20211113,6,HEAR_747,5,3,9,0.38,
20211113,6,HEAR_747,5,4,8,0.36,
20211113,6,HEAR_747,5,5,9,0.41,
20211113,6,ARCAL,1,1,0,0.25,
20211113,6,ARCAL,1,2,1,0.33,
20211113,6,ARCAL,1,3,0,0.32,
20211113,6,ARCAL,1,4,1,0.35,
20211113,6,ARCAL,1,5,0,0.29,
20211113,6,ARCAL,2,1,0,0.36,
20211113,6,ARCAL,2,2,2,0.34,
20211113,6,ARCAL,2,3,1,0.33,
20211113,6,ARCAL,2,4,1,0.37,
20211113,6,ARCAL,2,5,2,0.3,
20211113,6,ARCAL,3,1,1,0.39,
20211113,6,ARCAL,3,2,2,0.34,
20211113,6,ARCAL,3,3,1,0.28,
20211113,6,ARCAL,3,4,0,0.35,
20211113,6,ARCAL,3,5,3,0.38,
20211113,6,ARCAL,4,1,0,0.21,
20211113,6,ARCAL,4,2,0,0.19,
20211113,6,ARCAL,4,3,0,0.17,
20211113,6,ARCAL,4,4,0,0.21,
20211113,6,ARCAL,4,5,0,0.16,
20211113,6,ARCAL,5,1,0,0.16,
20211113,6,ARCAL,5,2,0,0.3,
20211113,6,ARCAL,5,3,2,0.35,
20211113,6,ARCAL,5,4,0,0.42,
20211113,6,ARCAL,5,5,3,0.47,
20211113,6,CEBE,1,1,10,0.26,
20211113,6,CEBE,1,2,11,0.25,
20211113,6,CEBE,1,3,3,0.32,
20211113,6,CEBE,1,4,11,0.29,
20211113,6,CEBE,1,5,12,0.32,
20211113,6,CEBE,2,1,4,0.26,
20211113,6,CEBE,2,2,5,0.28,
20211113,6,CEBE,2,3,3,0.27,
20211113,6,CEBE,2,4,4,0.2,
20211113,6,CEBE,2,5,3,0.26,
20211113,6,CEBE,3,1,6,0.23,
20211113,6,CEBE,3,2,6,0.19,
20211113,6,CEBE,3,3,4,0.23,
20211113,6,CEBE,3,4,8,0.19,
20211113,6,CEBE,3,5,5,0.26,
20211113,6,CEBE,4,1,8,0.24,
20211113,6,CEBE,4,2,5,0.26,
20211113,6,CEBE,4,3,7,0.29,
20211113,6,CEBE,4,4,4,0.23,
20211113,6,CEBE,4,5,6,0.27,
20211113,6,CEBE,5,1,5,0.22,
20211113,6,CEBE,5,2,8,0.21,
20211113,6,CEBE,5,3,5,0.28,
20211113,6,CEBE,5,4,4,0.27,
20211113,6,CEBE,5,5,4,0.22,
20211114,7,QUDO_791,1,1,5,0.15,
20211114,7,QUDO_791,1,2,3,0.19,
20211114,7,QUDO_791,1,3,7.5,0.24,
20211114,7,QUDO_791,1,4,4,0.3,
20211114,7,QUDO_791,1,5,6,0.16,
20211114,7,QUDO_756,2,1,6,0.16,
20211114,7,QUDO_756,2,2,15,0.18,
20211114,7,QUDO_756,2,3,17,0.15,
20211114,7,QUDO_756,2,4,11,0.15,
20211114,7,QUDO_756,2,5,10,0.18,
20211114,7,QUDO_NA,3,1,10,0.2,
20211114,7,QUDO_NA,3,2,7,0.26,
20211114,7,QUDO_NA,3,3,6,0.22,
20211114,7,QUDO_NA,3,4,7,0.25,
20211114,7,QUDO_NA,3,5,9,0.27,
20211114,7,QUDO_780,4,1,5,0.2,
20211114,7,QUDO_780,4,2,5,0.16,
20211114,7,QUDO_780,4,3,6,0.16,
20211114,7,QUDO_780,4,4,8.5,0.16,
20211114,7,QUDO_780,4,5,3,0.15,
20211114,7,QUDO_770,5,1,8,0.12,
20211114,7,QUDO_770,5,2,5.5,0.1,
20211114,7,QUDO_770,5,3,5,0.11,
20211114,7,QUDO_770,5,4,6,0.11,
20211114,7,QUDO_770,5,5,6,0.14,
20211114,7,QUAG_771,1,1,7,0.2,
20211114,7,QUAG_771,1,2,6,0.18,
20211114,7,QUAG_771,1,3,7,0.13,
20211114,7,QUAG_771,1,4,13,0.16,
20211114,7,QUAG_771,1,5,4,0.12,
20211114,7,QUAG_744,2,1,7,0.14,
20211114,7,QUAG_744,2,2,10,0.13,
20211114,7,QUAG_744,2,3,9,0.11,
20211114,7,QUAG_744,2,4,11,0.09,
20211114,7,QUAG_744,2,5,8,0.08,
20211114,7,QUAG_757,3,1,8,0.22,
20211114,7,QUAG_757,3,2,7,0.18,
20211114,7,QUAG_757,3,3,4,0.3,
